qty,standard,1gloss,1matt,2gloss,2matt
50,218.37,,,,
100,229.49,483.98,489.48,622.41,633.41
250,292.19,593.28,608.55,765.44,795.99
500,367.44,699.09,729.64,901.79,962.9
1000,507.09,953.14,1014.24,1251.71,1373.92
2500,932.59,1776.94,1920.93,2394.93,2682.9
5000,1550.86,2988.29,3255.19,4080.98,4614.78
7500,1878.77,3637.94,3974.55,4993.8,5667.02
10000,2539.21,4936.82,5402.7,6798,7729.76
12500,3136.1,6105.24,6687.59,8420.19,9584.89
15000,3725.05,7265.73,7964.55,10034.44,11432.09
20000,4968.78,9652.53,10584.29,13328.77,15192.29
25000,6154.61,11981.44,13146.14,16565.21,18894.6
30000,7340.45,14310.35,15707.99,19801.65,22596.92
35000,8824.71,16937.69,18568.26,23336.5,26597.66
40000,9983.79,19239.84,21103.36,27123.67,30850.71
45000,11575.8,21974.91,24071.38,30188.8,34381.71
50000,12879.27,24421.46,26750.86,33542.87,38201.67
60000,16754.6,32102.75,35205.24,44241.19,50446.17
70000,19119.05,37004.6,40624.19,51157.58,58396.74
80000,21692,42114.95,46251.61,58455.98,66729.3
90000,24251.79,47212.15,51865.89,65394.2,74701.69
100000,26571,52068.76,57239.59,72706.41,83048.05
