qty,standard,1gloss,1matt,2gloss,2matt
50,127.54,,,,
100,129.58,169.16,170.01,190.69,192.4
250,150.95,197.78,200.15,224.55,229.3
500,162.33,213.91,218.66,245.44,254.94
1000,185.99,255.36,264.86,301.8,320.8
2500,256.52,387.84,410.24,483.96,528.75
5000,352.68,576.24,617.75,746.19,829.2
7500,393.04,666.64,718.99,877.51,982.21
10000,569.1,942,1014.46,1231.46,1376.38
12500,671.85,1133.63,1224.2,1493.66,1674.81
15000,772.23,1322.9,1431.59,1753.51,1970.89
20000,1033.69,1762.14,1907.05,2333.9,2623.73
25000,1236.81,2143.05,2324.19,2855.95,3218.24
30000,1498.27,2582.29,2799.65,3436.33,3871.07
35000,1701.4,2963.19,3216.79,3958.38,4465.58
40000,1962.85,3402.42,3692.25,4538.76,5118.42
45000,2165.98,3783.33,4109.39,5073.9,5726.01
50000,2427.44,4222.56,4584.85,5641.2,6365.76
60000,3210,5597.06,6079.59,7484.92,8449.97
70000,3725.65,6507.34,7070.29,8708.52,9834.41
80000,4241.29,7417.62,8060.99,9946.65,11233.37
90000,4756.94,8327.9,9051.69,11170.24,12617.81
100000,5272.58,9238.18,10042.39,12393.84,14002.25
