qty,standard,1gloss,1matt,2gloss,2matt
50,235.26,,,,
100,241.44,410.01,412.44,527.36,532.21
250,289.02,484.41,491.15,622.89,636.38
500,323.38,532.25,545.74,684.21,711.19
1000,409.37,684.08,711.05,893.7,947.64
2500,607.72,1126.04,1189.59,1544.46,1671.55
5000,999.46,1880.55,1998.35,2609.5,2845.1
7500,1189.41,2267.14,2415.7,3166.85,3463.99
10000,1546.85,3028.36,3233.99,4260.04,4671.28
12500,1919.7,3737.84,3994.87,5280.34,5794.39
15000,2292.55,4460.41,4768.84,6287.55,6904.41
20000,2967.26,5847.65,6258.9,8270.27,9092.76
25000,3710.61,7277.34,7791.4,10308.53,11336.64
30000,4395.61,8674.88,9291.74,12288.45,13522.17
35000,5138.96,10104.56,10824.24,14326.7,15766.05
40000,5823.96,11502.1,12324.59,16306.61,17951.59
45000,6498.69,12876.25,13801.55,18289.34,20139.93
50000,7244.39,14321.39,15349.5,20329.95,22386.16
60000,9962.8,19370.21,20739.54,27360.99,30099.63
70000,11917.08,22877.11,24474.65,32189.72,35384.81
80000,13536.59,26063.76,27889.53,36698.21,40349.74
90000,14849.91,28929.7,30983.69,40886,44993.96
100000,16370.9,32003.3,34285.5,45295.96,49860.37
