qty,standard,1gloss,1matt,2gloss,2matt
50,218.24,,,,
100,223.49,390.94,393.35,507.51,512.33
250,265.92,460.01,466.71,597.58,610.98
500,295.04,502.53,515.92,653.49,680.28
1000,370.53,643.41,670.2,851.64,905.22
2500,541.35,1056.25,1119.37,1471.89,1598.15
5000,856.11,1731.37,1848.39,2455.49,2689.52
7500,974.05,2044.64,2192.21,2938.39,3233.55
10000,1320.49,2779.19,2983.45,4002.7,4411.22
12500,1584.6,3390.7,3646.03,4909.99,5420.64
15000,1893.96,4047.46,4353.85,5862.51,6475.29
20000,2467.43,5315.74,5724.26,7722.31,8539.35
25000,3040.9,6584.01,7094.66,9582.12,10603.42
30000,3614.36,7852.29,8465.06,11441.92,12667.49
35000,4187.84,9120.56,9835.46,13301.73,14731.55
40000,4761.3,10388.83,11205.87,15161.54,16795.61
45000,5334.77,11657.1,12576.27,17021.34,18859.69
50000,5908.24,12925.38,13946.68,18881.15,20923.75
60000,7830.71,17161.4,18521.66,25096.25,27816.76
70000,9115.12,19988.15,21575.11,29224.66,32398.6
80000,10655.09,23070.45,24884.12,33620.05,37247.4
90000,11907.19,25864.89,27905.26,37727.58,41808.35
100000,13639.8,29139.82,31406.91,42315.61,46849.8
