qty,standard,1gloss,1matt,2gloss,2matt
50,248.41,,,,
100,256.26,470.1,473.18,618.96,625.13
250,311.02,558.89,567.44,734.56,751.66
500,366.75,631.72,648.83,824.5,858.71
1000,468.09,816.57,850.79,1082.49,1150.91
2500,795.41,1452.94,1533.55,1983.72,2144.96
5000,1250.56,2368.3,2517.74,3293.01,3591.89
7500,1647.87,3166.95,3376.36,4435.12,4853.94
10000,2208.5,4278.27,4568.1,6014.34,6594
12500,2706.4,5269.11,5631.4,7424.85,8149.42
15000,3204.31,6259.96,6694.7,8835.36,9704.85
20000,4200.12,8241.65,8821.3,11669.47,12828.79
25000,5195.94,10223.34,10947.9,14490.5,15939.64
30000,6191.75,12205.01,13074.5,17311.52,19050.49
35000,7187.56,14186.7,15201.1,20132.54,22161.34
40000,8434.21,16432.3,17591.62,23217.48,25536.11
45000,9411.2,18395.17,19699.4,26019.68,28628.14
50000,10821.12,20790.96,22240.1,29254.81,32153.09
60000,14179.11,27433.14,29363.23,38704.9,42565.08
70000,16234.6,31677.08,33928.85,44812,49315.55
80000,18194.86,35840.31,38413.76,50838.4,55985.31
90000,20363.6,40197.5,43092.64,57058.76,62849.04
100000,22384.95,44407.3,47624.12,63146.25,69579.9
